,repair_cost-,repair_time-parallel,repair_time-sequential,collapse,irreparable
count,5000.0,5000.0,5000.0,5000.0,5000.0
mean,1528491.2919175483,403.55666194303916,850.9672386903928,0.0,0.0788
std,1645874.7637749917,120.41007693709415,138.67644426261327,0.0,0.2694533002510885
log_std,0.5374839248243822,0.2673258097406319,0.160012130419083,,
min,695757.991656527,187.25259758086042,519.9425599682774,0.0,0.0
0.1%,716605.6114309422,210.25933912839346,581.2697720769082,0.0,0.0
2.3%,797789.7086486531,253.22214411621684,639.7909655172871,0.0,0.0
10%,864561.2046154357,285.0661483233031,691.8570330534471,0.0,0.0
15.9%,895627.1567340328,301.43247733606626,718.1620789646469,0.0,0.0
50%,1053413.0788545685,375.36382307159204,830.1315259442015,0.0,0.0
84.1%,1269846.3345947857,487.8664587951241,1006.7042924308776,0.0,0.0
90%,1357282.1942704334,542.9607773254403,1046.8601694935157,0.0,0.0
97.7%,7133197.540937541,730.1587518070208,1141.2427036969043,0.0,1.0
99.9%,7133235.1483401945,730.6156904973627,1292.749444777513,0.0,1.0
max,7133245.754290511,731.0556539857931,1388.8685259383544,0.0,1.0
