-,repair_cost-,repair_time-parallel,repair_time-sequential
count,5000.0,5000.0,5000.0
mean,5835335.567527638,507.2865300919151,807.5580746894475
std,6367345.00321381,201.86154589394525,219.4860408896804
log_std,1.3120169375329662,0.4668705890382808,0.2707671118744478
min,271973.26055676874,79.97592882444131,209.37024430443267
0.1%,299731.4805149136,110.88029738741496,259.0150112638745
2.3%,500472.4792236989,170.9796022400141,406.07042129726625
10%,709487.4468397162,231.1034558417471,580.7299705828663
15.9%,803941.8517296981,268.8831290227928,660.0280261702708
50%,1282505.0396138402,491.321364390588,730.219515725574
84.1%,14266373.78538752,730.0595071933377,1033.1620745059624
90%,14266392.392628694,730.1897000780422,1119.4972621541594
97.7%,14266432.579875285,730.5002298130424,1361.6007765128797
99.9%,14266485.115043906,786.3268378302381,1699.0803733004727
max,14266544.129115662,913.8073499853939,1780.574919030311
